"","Season","Team","GP"
"960",1999,"Connecticut",6
"961",2000,"Jackson St",1
"962",2000,"Creighton",1
"963",2000,"Louisville",1
"964",2000,"Central Conn",1
"965",2000,"St Bonaventure",1
"966",2000,"SE Missouri St",1
"967",2000,"Iona",1
"968",2000,"Valparaiso",1
"969",2000,"Winthrop",1
"970",2000,"Dayton",1
"971",2000,"Northern Arizona",1
"972",2000,"Samford",1
"973",2000,"Indiana St",1
"974",2000,"Ball St",1
"975",2000,"St Louis",1
"976",2000,"Fresno St",1
"977",2000,"UNC Wilmington",1
"978",2000,"Utah St",1
"979",2000,"Lamar",1
"980",2000,"Butler",1
"981",2000,"Penn",1
"982",2000,"DePaul",1
"983",2000,"Arkansas",1
"984",2000,"Missouri",1
"985",2000,"Appalachian St",1
"986",2000,"Hofstra",1
"987",2000,"Indiana",1
"988",2000,"Oregon",1
"989",2000,"S Carolina St",1
"990",2000,"Lafayette",1
"991",2000,"ULL",1
"992",2000,"UNLV",1
"993",2000,"St John's",2
"994",2000,"Auburn",2
"995",2000,"Texas",2
"996",2000,"Utah",2
"997",2000,"Oklahoma",2
"998",2000,"Kentucky",2
"999",2000,"Maryland",2
"1000",2000,"Arizona",2
"1001",2000,"Kansas",2
"1002",2000,"Illinois",2
"1003",2000,"Ohio St",2
"1004",2000,"Stanford",2
"1005",2000,"Pepperdine",2
"1006",2000,"Temple",2
"1007",2000,"Connecticut",2
"1008",2000,"Cincinnati",2
"1009",2000,"UCLA",3
"1010",2000,"Syracuse",3
"1011",2000,"Gonzaga",3
"1012",2000,"LSU",3
"1013",2000,"Duke",3
"1014",2000,"Tennessee",3
"1015",2000,"Seton Hall",3
"1016",2000,"Miami FL",3
"1017",2000,"Iowa St",4
"1018",2000,"Purdue",4
"1019",2000,"Oklahoma St",4
"1020",2000,"Tulsa",4
"1021",2000,"North Carolina",5
"1022",2000,"Wisconsin",5
"1023",2000,"Florida",6
"1024",2000,"Michigan St",6
"1025",2001,"Winthrop",1
"1026",2001,"Southern Utah",1
"1027",2001,"BYU",1
"1028",2001,"Monmouth NJ",1
"1029",2001,"Arkansas",1
"1030",2001,"Wisconsin",1
"1031",2001,"Iowa St",1
"1032",2001,"Creighton",1
"1033",2001,"Indiana",1
"1034",2001,"Holy Cross",1
"1035",2001,"George Mason",1
"1036",2001,"Georgia",1
"1037",2001,"Georgia Tech",1
"1038",2001,"UNC Greensboro",1
"1039",2001,"Hofstra",1
"1040",2001,"Oklahoma St",1
"1041",2001,"Ohio St",1
"1042",2001,"E Illinois",1
"1043",2001,"Wake Forest",1
"1044",2001,"Tennessee",1
"1045",2001,"WKU",1
"1046",2001,"California",1
"1047",2001,"Virginia",1
"1048",2001,"Northwestern LA",1
"1049",2001,"Oklahoma",1
"1050",2001,"CS Northridge",1
"1051",2001,"Alabama St",1
"1052",2001,"Iona",1
"1053",2001,"Princeton",1
"1054",2001,"Xavier",1
"1055",2001,"Providence",1
"1056",2001,"Hawaii",1
"1057",2001,"Texas",2
"1058",2001,"Kent",2
"1059",2001,"Missouri",2
"1060",2001,"Hampton",2
"1061",2001,"Iowa",2
"1062",2001,"Georgia St",2
"1063",2001,"St Joseph's PA",2
"1064",2001,"Utah St",2
"1065",2001,"Boston College",2
"1066",2001,"Butler",2
"1067",2001,"Indiana St",2
"1068",2001,"Charlotte",2
"1069",2001,"Syracuse",2
"1070",2001,"Fresno St",2
"1071",2001,"Notre Dame",2
"1072",2001,"North Carolina",2
"1073",2001,"Florida",3
"1074",2001,"UCLA",3
"1075",2001,"Georgetown",3
"1076",2001,"Cincinnati",3
"1077",2001,"Kentucky",3
"1078",2001,"Mississippi",3
"1079",2001,"Kansas",3
"1080",2001,"Gonzaga",3
"1081",2001,"Penn St",4
"1082",2001,"USC",4
"1083",2001,"Stanford",4
"1084",2001,"Illinois",4
"1085",2001,"Temple",5
"1086",2001,"Michigan St",5
"1087",2001,"Maryland",6
"1088",2001,"Duke",6
"1089",2002,"Alcorn St",1
"1090",2002,"FL Atlantic",1
"1091",2002,"Santa Barbara",1
"1092",2002,"Winthrop",1
"1093",2002,"Utah",1
"1094",2002,"Holy Cross",1
"1095",2002,"Oklahoma St",1
"1096",2002,"Valparaiso",1
"1097",2002,"Miami FL",1
"1098",2002,"Charlotte",1
"1099",2002,"Davidson",1
"1100",2002,"Montana",1
"1101",2002,"WKU",1
"1102",2002,"Marquette",1
"1103",2002,"USC",1
"1104",2002,"Pepperdine",1
"1105",2002,"Gonzaga",1
"1106",2002,"Penn",1
"1107",2002,"Boston Univ",1
"1108",2002,"Hampton",1
"1109",2002,"Florida",1
"1110",2002,"Murray St",1
"1111",2002,"San Diego St",1
"1112",2002,"Siena",1
"1113",2002,"McNeese St",1
"1114",2002,"Michigan St",1
"1115",2002,"IL Chicago",1
"1116",2002,"Central Conn",1
"1117",2002,"Texas Tech",1
"1118",2002,"Boston College",1
"1119",2002,"Mississippi",1
"1120",2002,"St John's",1
"1121",2002,"Hawaii",2
"1122",2002,"Wyoming",2
"1123",2002,"Notre Dame",2
"1124",2002,"UNC Wilmington",2
"1125",2002,"Stanford",2
"1126",2002,"Alabama",2
"1127",2002,"Tulsa",2
"1128",2002,"Ohio St",2
"1129",2002,"Wake Forest",2
"1130",2002,"NC State",2
"1131",2002,"Creighton",2
"1132",2002,"Wisconsin",2
"1133",2002,"Xavier",2
"1134",2002,"California",2
"1135",2002,"Georgia",2
"1136",2002,"Mississippi St",2
"1137",2002,"Cincinnati",3
"1138",2002,"Duke",3
"1139",2002,"Pittsburgh",3
"1140",2002,"UCLA",3
"1141",2002,"Arizona",3
"1142",2002,"S Illinois",3
"1143",2002,"Illinois",3
"1144",2002,"Kentucky",3
"1145",2002,"Texas",4
"1146",2002,"Kent",4
"1147",2002,"Missouri",4
"1148",2002,"Oregon",4
"1149",2002,"Connecticut",5
"1150",2002,"Oklahoma",5
"1151",2002,"Kansas",6
"1152",2002,"Maryland",6
"1153",2003,"TX Southern",1
"1154",2003,"Vermont",1
"1155",2003,"Memphis",1
"1156",2003,"Creighton",1
"1157",2003,"NC State",1
"1158",2003,"BYU",1
"1159",2003,"Colorado St",1
"1160",2003,"Cincinnati",1
"1161",2003,"WKU",1
"1162",2003,"Utah St",1
"1163",2003,"Holy Cross",1
"1164",2003,"S Illinois",1
"1165",2003,"WI Milwaukee",1
"1166",2003,"S Carolina St",1
"1167",2003,"San Diego",1
"1168",2003,"Dayton",1
"1169",2003,"Weber St",1
"1170",2003,"St Joseph's PA",1
"1171",2003,"Mississippi St",1
"1172",2003,"Sam Houston St",1
"1173",2003,"Alabama",1
"1174",2003,"IUPUI",1
"1175",2003,"Austin Peay",1
"1176",2003,"UNC Wilmington",1
"1177",2003,"Colorado",1
"1178",2003,"Penn",1
"1179",2003,"Wagner",1
"1180",2003,"LSU",1
"1181",2003,"Manhattan",1
"1182",2003,"UNC Asheville",1
"1183",2003,"Oregon",1
"1184",2003,"ETSU",1
"1185",2003,"Troy",2
"1186",2003,"Gonzaga",2
"1187",2003,"Stanford",2
"1188",2003,"C Michigan",2
"1189",2003,"Arizona St",2
"1190",2003,"Missouri",2
"1191",2003,"Illinois",2
"1192",2003,"California",2
"1193",2003,"Tulsa",2
"1194",2003,"Wake Forest",2
"1195",2003,"Louisville",2
"1196",2003,"Utah",2
"1197",2003,"Xavier",2
"1198",2003,"Florida",2
"1199",2003,"Indiana",2
"1200",2003,"Oklahoma St",2
"1201",2003,"Purdue",3
"1202",2003,"Notre Dame",3
"1203",2003,"Duke",3
"1204",2003,"Wisconsin",3
"1205",2003,"Pittsburgh",3
"1206",2003,"Maryland",3
"1207",2003,"Butler",3
"1208",2003,"Auburn",3
"1209",2003,"Connecticut",4
"1210",2003,"Arizona",4
"1211",2003,"Kentucky",4
"1212",2003,"Oklahoma",4
"1213",2003,"Michigan St",5
"1214",2003,"Marquette",5
"1215",2003,"Texas",6
"1216",2003,"Syracuse",6
"1217",2004,"Lehigh",1
"1218",2004,"S Illinois",1
"1219",2004,"Vermont",1
"1220",2004,"Dayton",1
"1221",2004,"Alabama St",1
"1222",2004,"Valparaiso",1
"1223",2004,"Florida",1
"1224",2004,"UTEP",1
"1225",2004,"Michigan St",1
"1226",2004,"Air Force",1
"1227",2004,"Arizona",1
"1228",2004,"Liberty",1
"1229",2004,"UT San Antonio",1
"1230",2004,"BYU",1
"1231",2004,"Princeton",1
"1232",2004,"Charlotte",1
"1233",2004,"VA Commonwealth",1
"1234",2004,"Utah",1
"1235",2004,"ETSU",1
"1236",2004,"Northern Iowa",1
"1237",2004,"Murray St",1
"1238",2004,"IL Chicago",1
"1239",2004,"Florida A&M",1
"1240",2004,"South Carolina",1
"1241",2004,"Monmouth NJ",1
"1242",2004,"ULL",1
"1243",2004,"E Washington",1
"1244",2004,"Providence",1
"1245",2004,"UCF",1
"1246",2004,"Washington",1
"1247",2004,"W Michigan",1
"1248",2004,"Richmond",1
"1249",2004,"Louisville",2
"1250",2004,"Stanford",2
"1251",2004,"DePaul",2
"1252",2004,"Seton Hall",2
"1253",2004,"Gonzaga",2
"1254",2004,"Texas Tech",2
"1255",2004,"Maryland",2
"1256",2004,"North Carolina",2
"1257",2004,"Manhattan",2
"1258",2004,"Boston College",2
"1259",2004,"Cincinnati",2
"1260",2004,"Pacific",2
"1261",2004,"Memphis",2
"1262",2004,"Wisconsin",2
"1263",2004,"Kentucky",2
"1264",2004,"NC State",2
"1265",2004,"Mississippi St",3
"1266",2004,"Syracuse",3
"1267",2004,"Vanderbilt",3
"1268",2004,"Pittsburgh",3
"1269",2004,"Wake Forest",3
"1270",2004,"Illinois",3
"1271",2004,"Nevada",3
"1272",2004,"UAB",3
"1273",2004,"Texas",4
"1274",2004,"Alabama",4
"1275",2004,"St Joseph's PA",4
"1276",2004,"Xavier",4
"1277",2004,"Kansas",5
"1278",2004,"Duke",5
"1279",2004,"Oklahoma St",6
"1280",2004,"Georgia Tech",6
"1281",2005,"Alabama A&M",1
"1282",2005,"Utah St",1
"1283",2005,"Penn",1
"1284",2005,"Iowa",1
"1285",2005,"Winthrop",1
"1286",2005,"F Dickinson",1
"1287",2005,"E Kentucky",1
"1288",2005,"Texas",1
"1289",2005,"Niagara",1
"1290",2005,"Pittsburgh",1
"1291",2005,"UCLA",1
"1292",2005,"LSU",1
"1293",2005,"UTEP",1
"1294",2005,"Chattanooga",1
"1295",2005,"Montana",1
"1296",2005,"Creighton",1
"1297",2005,"Alabama",1
"1298",2005,"Kansas",1
"1299",2005,"UCF",1
"1300",2005,"Delaware St",1
"1301",2005,"Ohio",1
"1302",2005,"G Washington",1
"1303",2005,"Minnesota",1
"1304",2005,"ULL",1
"1305",2005,"Old Dominion",1
"1306",2005,"Stanford",1
"1307",2005,"Charlotte",1
"1308",2005,"Oakland",1
"1309",2005,"SE Louisiana",1
"1310",2005,"St Mary's CA",1
"1311",2005,"Syracuse",1
"1312",2005,"New Mexico",1
"1313",2005,"Northern Iowa",2
"1314",2005,"UAB",2
"1315",2005,"Nevada",2
"1316",2005,"Cincinnati",2
"1317",2005,"Gonzaga",2
"1318",2005,"Oklahoma",2
"1319",2005,"Pacific",2
"1320",2005,"Wake Forest",2
"1321",2005,"Boston College",2
"1322",2005,"Mississippi St",2
"1323",2005,"Georgia Tech",2
"1324",2005,"Vermont",2
"1325",2005,"Connecticut",2
"1326",2005,"Iowa St",2
"1327",2005,"S Illinois",2
"1328",2005,"Florida",2
"1329",2005,"Bucknell",3
"1330",2005,"Oklahoma St",3
"1331",2005,"WI Milwaukee",3
"1332",2005,"Washington",3
"1333",2005,"Texas Tech",3
"1334",2005,"Utah",3
"1335",2005,"Duke",3
"1336",2005,"Villanova",3
"1337",2005,"NC State",4
"1338",2005,"Arizona",4
"1339",2005,"West Virginia",4
"1340",2005,"Kentucky",4
"1341",2005,"Wisconsin",5
"1342",2005,"Louisville",5
"1343",2005,"Michigan St",6
"1344",2005,"North Carolina",6
"1345",2006,"Hampton",1
"1346",2006,"Marquette",1
"1347",2006,"Pacific",1
"1348",2006,"Southern Univ",1
"1349",2006,"South Alabama",1
"1350",2006,"UNC Wilmington",1
"1351",2006,"Xavier",1
"1352",2006,"Air Force",1
"1353",2006,"San Diego St",1
"1354",2006,"Iona",1
"1355",2006,"Nevada",1
"1356",2006,"Winthrop",1
"1357",2006,"Syracuse",1
"1358",2006,"Belmont",1
"1359",2006,"Utah St",1
"1360",2006,"Oklahoma",1
"1361",2006,"Seton Hall",1
"1362",2006,"Wisconsin",1
"1363",2006,"Kansas",1
"1364",2006,"Arkansas",1
"1365",2006,"Albany NY",1
"1366",2006,"Michigan St",1
"1367",2006,"Northern Iowa",1
"1368",2006,"UAB",1
"1369",2006,"Oral Roberts",1
"1370",2006,"California",1
"1371",2006,"Murray St",1
"1372",2006,"Iowa",1
"1373",2006,"Davidson",1
"1374",2006,"Kent",1
"1375",2006,"Penn",1
"1376",2006,"Monmouth NJ",1
"1377",2006,"S Illinois",2
"1378",2006,"Montana",2
"1379",2006,"G Washington",2
"1380",2006,"WI Milwaukee",2
"1381",2006,"Indiana",2
"1382",2006,"Texas A&M",2
"1383",2006,"Alabama",2
"1384",2006,"Illinois",2
"1385",2006,"Tennessee",2
"1386",2006,"Pittsburgh",2
"1387",2006,"Kentucky",2
"1388",2006,"North Carolina",2
"1389",2006,"Ohio St",2
"1390",2006,"Bucknell",2
"1391",2006,"NC State",2
"1392",2006,"Arizona",2
"1393",2006,"Northwestern LA",3
"1394",2006,"Duke",3
"1395",2006,"Bradley",3
"1396",2006,"West Virginia",3
"1397",2006,"Gonzaga",3
"1398",2006,"Washington",3
"1399",2006,"Georgetown",3
"1400",2006,"Wichita St",3
"1401",2006,"Boston College",4
"1402",2006,"Texas",4
"1403",2006,"Memphis",4
"1404",2006,"Villanova",4
"1405",2006,"Connecticut",5
"1406",2006,"George Mason",5
"1407",2006,"LSU",6
"1408",2006,"UCLA",6
"1409",2007,"Florida A&M",1
"1410",2007,"Texas Tech",1
"1411",2007,"Old Dominion",1
"1412",2007,"Belmont",1
"1413",2007,"Gonzaga",1
"1414",2007,"Stanford",1
"1415",2007,"Davidson",1
"1416",2007,"Marquette",1
"1417",2007,"E Kentucky",1
"1418",2007,"Central Conn",1
"1419",2007,"Wright St",1
"1420",2007,"Penn",1
"1421",2007,"Weber St",1
"1422",2007,"Duke",1
"1423",2007,"G Washington",1
"1424",2007,"Oral Roberts",1
"1425",2007,"BYU",1
"1426",2007,"Jackson St",1
"1427",2007,"Niagara",1
"1428",2007,"Villanova",1
"1429",2007,"North Texas",1
"1430",2007,"Creighton",1
"1431",2007,"Miami OH",1
"1432",2007,"Arizona",1
"1433",2007,"Holy Cross",1
"1434",2007,"Long Beach St",1
"1435",2007,"New Mexico St",1
"1436",2007,"Georgia Tech",1
"1437",2007,"Arkansas",1
"1438",2007,"Albany NY",1
"1439",2007,"Illinois",1
"1440",2007,"Notre Dame",1
"1441",2007,"TAM C. Christi",2
"1442",2007,"Maryland",2
"1443",2007,"Boston College",2
"1444",2007,"Michigan St",2
"1445",2007,"Xavier",2
"1446",2007,"VA Commonwealth",2
"1447",2007,"Louisville",2
"1448",2007,"Indiana",2
"1449",2007,"Washington St",2
"1450",2007,"Purdue",2
"1451",2007,"Kentucky",2
"1452",2007,"Nevada",2
"1453",2007,"Winthrop",2
"1454",2007,"Virginia Tech",2
"1455",2007,"Virginia",2
"1456",2007,"Wisconsin",2
"1457",2007,"Texas",3
"1458",2007,"S Illinois",3
"1459",2007,"Texas A&M",3
"1460",2007,"Tennessee",3
"1461",2007,"Pittsburgh",3
"1462",2007,"Butler",3
"1463",2007,"Vanderbilt",3
"1464",2007,"USC",3
"1465",2007,"UNLV",4
"1466",2007,"Memphis",4
"1467",2007,"Kansas",4
"1468",2007,"Oregon",4
"1469",2007,"North Carolina",5
"1470",2007,"UCLA",5
"1471",2007,"Georgetown",6
"1472",2007,"Ohio St",6
"1473",2008,"Coppin St",1
"1474",2008,"Belmont",1
"1475",2008,"Portland St",1
"1476",2008,"USC",1
"1477",2008,"Kentucky",1
"1478",2008,"Temple",1
"1479",2008,"George Mason",1
"1480",2008,"Oral Roberts",1
"1481",2008,"Baylor",1
"1482",2008,"Cornell",1
"1483",2008,"BYU",1
"1484",2008,"MS Valley St",1
"1485",2008,"Kent",1
"1486",2008,"Winthrop",1
"1487",2008,"Arizona",1
"1488",2008,"CS Fullerton",1
"1489",2008,"Georgia",1
"1490",2008,"Indiana",1
"1491",2008,"South Alabama",1
"1492",2008,"Gonzaga",1
"1493",2008,"UMBC",1
"1494",2008,"Boise St",1
"1495",2008,"UT Arlington",1
"1496",2008,"St Mary's CA",1
"1497",2008,"Oregon",1
"1498",2008,"Mt St Mary's",1
"1499",2008,"St Joseph's PA",1
"1500",2008,"Connecticut",1
"1501",2008,"Vanderbilt",1
"1502",2008,"American Univ",1
"1503",2008,"Austin Peay",1
"1504",2008,"Clemson",1
"1505",2008,"Drake",2
"1506",2008,"UNLV",2
"1507",2008,"Pittsburgh",2
"1508",2008,"Marquette",2
"1509",2008,"Texas A&M",2
"1510",2008,"Notre Dame",2
"1511",2008,"Duke",2
"1512",2008,"Kansas St",2
"1513",2008,"Purdue",2
"1514",2008,"Georgetown",2
"1515",2008,"Oklahoma",2
"1516",2008,"Mississippi St",2
"1517",2008,"Arkansas",2
"1518",2008,"Butler",2
"1519",2008,"Miami FL",2
"1520",2008,"Siena",2
"1521",2008,"San Diego",3
"1522",2008,"Tennessee",3
"1523",2008,"Washington St",3
"1524",2008,"WKU",3
"1525",2008,"West Virginia",3
"1526",2008,"Wisconsin",3
"1527",2008,"Villanova",3
"1528",2008,"Michigan St",3
"1529",2008,"Stanford",4
"1530",2008,"Louisville",4
"1531",2008,"Xavier",4
"1532",2008,"Davidson",4
"1533",2008,"Texas",5
"1534",2008,"North Carolina",5
"1535",2008,"UCLA",6
"1536",2008,"Memphis",6
"1537",2009,"Alabama St",1
"1538",2009,"Chattanooga",1
"1539",2009,"Binghamton",1
"1540",2009,"Akron",1
"1541",2009,"Butler",1
"1542",2009,"California",1
"1543",2009,"CS Northridge",1
"1544",2009,"Clemson",1
"1545",2009,"Radford",1
"1546",2009,"Morgan St",1
"1547",2009,"Northern Iowa",1
"1548",2009,"Minnesota",1
"1549",2009,"BYU",1
"1550",2009,"VA Commonwealth",1
"1551",2009,"American Univ",1
"1552",2009,"Illinois",1
"1553",2009,"Mississippi St",1
"1554",2009,"Utah",1
"1555",2009,"Temple",1
"1556",2009,"Wake Forest",1
"1557",2009,"West Virginia",1
"1558",2009,"N Dakota St",1
"1559",2009,"Morehead St",1
"1560",2009,"Utah St",1
"1561",2009,"Robert Morris",1
"1562",2009,"Cornell",1
"1563",2009,"Tennessee",1
"1564",2009,"ETSU",1
"1565",2009,"Ohio St",1
"1566",2009,"SF Austin",1
"1567",2009,"Boston College",1
"1568",2009,"Florida St",1
"1569",2009,"Portland St",2
"1570",2009,"Texas A&M",2
"1571",2009,"Texas",2
"1572",2009,"WKU",2
"1573",2009,"Maryland",2
"1574",2009,"LSU",2
"1575",2009,"Michigan",2
"1576",2009,"Washington",2
"1577",2009,"UCLA",2
"1578",2009,"Cleveland St",2
"1579",2009,"Dayton",2
"1580",2009,"Siena",2
"1581",2009,"USC",2
"1582",2009,"Marquette",2
"1583",2009,"Oklahoma St",2
"1584",2009,"Arizona St",2
"1585",2009,"Wisconsin",3
"1586",2009,"Purdue",3
"1587",2009,"Memphis",3
"1588",2009,"Xavier",3
"1589",2009,"Duke",3
"1590",2009,"Arizona",3
"1591",2009,"Kansas",3
"1592",2009,"Gonzaga",3
"1593",2009,"Syracuse",4
"1594",2009,"Missouri",4
"1595",2009,"Pittsburgh",4
"1596",2009,"Louisville",4
"1597",2009,"Oklahoma",5
"1598",2009,"Connecticut",5
"1599",2009,"Villanova",6
"1600",2009,"North Carolina",6
"1601",2010,"Winthrop",1
"1602",2010,"Sam Houston St",1
"1603",2010,"UTEP",1
"1604",2010,"Florida",1
"1605",2010,"Lehigh",1
"1606",2010,"North Texas",1
"1607",2010,"ETSU",1
"1608",2010,"Vanderbilt",1
"1609",2010,"Montana",1
"1610",2010,"UNLV",1
"1611",2010,"Georgetown",1
"1612",2010,"Notre Dame",1
"1613",2010,"Richmond",1
"1614",2010,"San Diego St",1
"1615",2010,"Robert Morris",1
"1616",2010,"Texas",1
"1617",2010,"Marquette",1
"1618",2010,"Louisville",1
"1619",2010,"Temple",1
"1620",2010,"Ark Pine Bluff",1
"1621",2010,"Oklahoma St",1
"1622",2010,"Florida St",1
"1623",2010,"Houston",1
"1624",2010,"New Mexico St",1
"1625",2010,"Clemson",1
"1626",2010,"Santa Barbara",1
"1627",2010,"Oakland",1
"1628",2010,"Siena",1
"1629",2010,"Vermont",1
"1630",2010,"Utah St",1
"1631",2010,"Morgan St",1
"1632",2010,"Wofford",1
"1633",2010,"Minnesota",2
"1634",2010,"Old Dominion",2
"1635",2010,"Murray St",2
"1636",2010,"BYU",2
"1637",2010,"Wake Forest",2
"1638",2010,"Kansas",2
"1639",2010,"Villanova",2
"1640",2010,"Ohio",2
"1641",2010,"New Mexico",2
"1642",2010,"Wisconsin",2
"1643",2010,"California",2
"1644",2010,"Maryland",2
"1645",2010,"Georgia Tech",2
"1646",2010,"Texas A&M",2
"1647",2010,"Gonzaga",2
"1648",2010,"Missouri",2
"1649",2010,"Pittsburgh",3
"1650",2010,"Syracuse",3
"1651",2010,"Xavier",3
"1652",2010,"Cornell",3
"1653",2010,"Washington",3
"1654",2010,"St Mary's CA",3
"1655",2010,"Purdue",3
"1656",2010,"Northern Iowa",3
"1657",2010,"Ohio St",4
"1658",2010,"Kansas St",4
"1659",2010,"Kentucky",4
"1660",2010,"Baylor",4
"1661",2010,"Tennessee",5
"1662",2010,"Michigan St",5
"1663",2010,"West Virginia",6
"1664",2010,"Duke",6
"1665",2011,"UAB",1
"1666",2011,"Ark Little Rock",1
"1667",2011,"Alabama St",1
"1668",2011,"USC",1
"1669",2011,"Old Dominion",1
"1670",2011,"Wofford",1
"1671",2011,"Missouri",1
"1672",2011,"Bucknell",1
"1673",2011,"Santa Barbara",1
"1674",2011,"St John's",1
"1675",2011,"Utah St",1
"1676",2011,"Princeton",1
"1677",2011,"Louisville",1
"1678",2011,"UNC Asheville",1
"1679",2011,"Vanderbilt",1
"1680",2011,"N Colorado",1
"1681",2011,"Penn St",1
"1682",2011,"Michigan St",1
"1683",2011,"Clemson",1
"1684",2011,"Belmont",1
"1685",2011,"Memphis",1
"1686",2011,"Hampton",1
"1687",2011,"Texas A&M",1
"1688",2011,"Villanova",1
"1689",2011,"UNLV",1
"1690",2011,"Boston Univ",1
"1691",2011,"Xavier",1
"1692",2011,"Tennessee",1
"1693",2011,"Long Island",1
"1694",2011,"Akron",1
"1695",2011,"UT San Antonio",1
"1696",2011,"St Peter's",1
"1697",2011,"Indiana St",2
"1698",2011,"Oakland",2
"1699",2011,"Georgetown",2
"1700",2011,"Georgia",2
"1701",2011,"Pittsburgh",2
"1702",2011,"Gonzaga",2
"1703",2011,"Cincinnati",2
"1704",2011,"UCLA",2
"1705",2011,"West Virginia",2
"1706",2011,"Morehead St",2
"1707",2011,"Temple",2
"1708",2011,"Kansas St",2
"1709",2011,"Texas",2
"1710",2011,"Michigan",2
"1711",2011,"Notre Dame",2
"1712",2011,"Illinois",2
"1713",2011,"Syracuse",3
"1714",2011,"Washington",3
"1715",2011,"George Mason",3
"1716",2011,"Purdue",3
"1717",2011,"Duke",3
"1718",2011,"Wisconsin",3
"1719",2011,"San Diego St",3
"1720",2011,"BYU",3
"1721",2011,"Richmond",4
"1722",2011,"Ohio St",4
"1723",2011,"Marquette",4
"1724",2011,"Florida St",4
"1725",2011,"Florida",5
"1726",2011,"Arizona",5
"1727",2011,"North Carolina",6
"1728",2011,"Kentucky",6
"1729",2012,"Iona",1
"1730",2012,"MS Valley St",1
"1731",2012,"California",1
"1732",2012,"Lamar",1
"1733",2012,"S Dakota St",1
"1734",2012,"UNLV",1
"1735",2012,"West Virginia",1
"1736",2012,"New Mexico St",1
"1737",2012,"Connecticut",1
"1738",2012,"Southern Miss",1
"1739",2012,"WKU",1
"1740",2012,"Davidson",1
"1741",2012,"BYU",1
"1742",2012,"Colorado St",1
"1743",2012,"Long Beach St",1
"1744",2012,"Loyola MD",1
"1745",2012,"UNC Asheville",1
"1746",2012,"Wichita St",1
"1747",2012,"Harvard",1
"1748",2012,"Montana",1
"1749",2012,"Texas",1
"1750",2012,"Alabama",1
"1751",2012,"Virginia",1
"1752",2012,"St Bonaventure",1
"1753",2012,"Belmont",1
"1754",2012,"Detroit",1
"1755",2012,"Duke",1
"1756",2012,"Long Island",1
"1757",2012,"San Diego St",1
"1758",2012,"Missouri",1
"1759",2012,"Vermont",1
"1760",2012,"Michigan",1
"1761",2012,"St Mary's CA",2
"1762",2012,"Temple",2
"1763",2012,"Memphis",2
"1764",2012,"Notre Dame",2
"1765",2012,"Colorado",2
"1766",2012,"VA Commonwealth",2
"1767",2012,"Iowa St",2
"1768",2012,"New Mexico",2
"1769",2012,"Murray St",2
"1770",2012,"Gonzaga",2
"1771",2012,"Kansas St",2
"1772",2012,"Vanderbilt",2
"1773",2012,"Florida St",2
"1774",2012,"Norfolk St",2
"1775",2012,"Purdue",2
"1776",2012,"St Louis",2
"1777",2012,"Georgetown",3
"1778",2012,"Creighton",3
"1779",2012,"South Florida",3
"1780",2012,"Lehigh",3
"1781",2012,"Marquette",3
"1782",2012,"Michigan St",3
"1783",2012,"Cincinnati",3
"1784",2012,"Wisconsin",3
"1785",2012,"Xavier",4
"1786",2012,"NC State",4
"1787",2012,"Indiana",4
"1788",2012,"Ohio",4
"1789",2012,"Florida",5
"1790",2012,"Syracuse",5
"1791",2012,"North Carolina",6
"1792",2012,"Kansas",6
"1793",2013,"Liberty",1
"1794",2013,"MTSU",1
"1795",2013,"Long Island",1
"1796",2013,"Boise St",1
"1797",2013,"Belmont",1
"1798",2013,"Bucknell",1
"1799",2013,"UNLV",1
"1800",2013,"Missouri",1
"1801",2013,"Southern Univ",1
"1802",2013,"New Mexico",1
"1803",2013,"NC A&T",1
"1804",2013,"Davidson",1
"1805",2013,"St Mary's CA",1
"1806",2013,"S Dakota St",1
"1807",2013,"Valparaiso",1
"1808",2013,"Oklahoma St",1
"1809",2013,"New Mexico St",1
"1810",2013,"Montana",1
"1811",2013,"Akron",1
"1812",2013,"Pittsburgh",1
"1813",2013,"Cincinnati",1
"1814",2013,"Albany NY",1
"1815",2013,"Georgetown",1
"1816",2013,"Northwestern LA",1
"1817",2013,"Colorado",1
"1818",2013,"James Madison",1
"1819",2013,"Notre Dame",1
"1820",2013,"WKU",1
"1821",2013,"Kansas St",1
"1822",2013,"Pacific",1
"1823",2013,"UCLA",1
"1824",2013,"Wisconsin",1
"1825",2013,"Villanova",2
"1826",2013,"Iona",2
"1827",2013,"Oklahoma",2
"1828",2013,"NC State",2
"1829",2013,"Harvard",2
"1830",2013,"Colorado St",2
"1831",2013,"Butler",2
"1832",2013,"VA Commonwealth",2
"1833",2013,"Memphis",2
"1834",2013,"St Louis",2
"1835",2013,"California",2
"1836",2013,"Gonzaga",2
"1837",2013,"Creighton",2
"1838",2013,"San Diego St",2
"1839",2013,"Minnesota",2
"1840",2013,"Temple",2
"1841",2013,"North Carolina",3
"1842",2013,"Mississippi",3
"1843",2013,"Illinois",3
"1844",2013,"Iowa St",3
"1845",2013,"Miami FL",3
"1846",2013,"Arizona",3
"1847",2013,"Indiana",3
"1848",2013,"La Salle",3
"1849",2013,"Michigan St",4
"1850",2013,"FL Gulf Coast",4
"1851",2013,"Oregon",4
"1852",2013,"Kansas",4
"1853",2013,"Marquette",5
"1854",2013,"Ohio St",5
